"flybase_gene_ID" "t0" "t1" "t2" "t4" "t8" "t16" "t24"
"214" "FBgn0000709" 13328 9196 7214 3876 2335 1298 5111
"215" "FBgn0000711" 9592 8435 4152 6611 3462 2221 4761
"216" "FBgn0000715" 0 0 0 0 0 5 0
"217" "FBgn0000719" 1861 1229 725 843 552 580 1863
"218" "FBgn0000721" 2029 1351 1005 832 508 604 1681
"219" "FBgn0000723" 7913 5287 3176 2584 1543 989 3013
"220" "FBgn0000808" 1086 732 610 370 285 107 225
"221" "FBgn0000810" 2070 1146 351 377 257 378 733
"222" "FBgn0000826" 3708 3751 4048 3878 2171 467 396
"223" "FBgn0000927" 148 100 53 58 35 17 109
"224" "FBgn0000928" 5633 4582 4776 2934 1246 659 2234
"225" "FBgn0000964" 0 2 0 0 0 0 1
"226" "FBgn0000996" 7514 3231 1611 1230 1365 1388 3856
"227" "FBgn0001075" 35 21 25 36 42 11 36
"228" "FBgn0001077" 0 0 0 0 0 0 0
"229" "FBgn0001078" 1743 812 276 640 522 483 1011
"230" "FBgn0001079" 2709 931 489 438 320 222 917
"231" "FBgn0001083" 568 183 149 142 137 73 227
"232" "FBgn0001084" 2103 409 250 230 265 205 418
"233" "FBgn0001085" 24 25 28 38 23 23 33
"234" "FBgn0001086" 19861 16410 15347 7823 3343 2418 4824
"235" "FBgn0001087" 4510 3065 1267 1997 1460 909 2930
"236" "FBgn0001089" 25 14 10 10 13 8 14
"237" "FBgn0001090" 3 3 5 0 1 0 9
"238" "FBgn0001091" 39965 39592 44190 50121 40391 9598 10112
"239" "FBgn0001092" 76067 72947 78508 76345 46067 17888 22489
"240" "FBgn0001098" 2764 2712 2462 2667 1352 637 718
"241" "FBgn0001099" 66 34 11 16 15 1 8
"242" "FBgn0001104" 88591 77383 59013 45449 24634 17884 24881
"243" "FBgn0001105" 11049 7623 2700 6558 4771 4473 6438
"244" "FBgn0001108" 10947 7659 5693 3381 2006 1830 4846
"245" "FBgn0001112" 11 5 3 6 2 7 1
"246" "FBgn0001114" 64200 67554 66236 127536 146144 75049 148540
"247" "FBgn0001120" 21 13 9 2 2 5 18
"248" "FBgn0001122" 2308 1336 419 1254 805 709 1221
"249" "FBgn0001123" 7480 6969 4427 4738 2294 2288 3285
